m,f_re,f_im,f_R_hz,tau_s,Q,abs_res
-14.86100000000002,9.813314545435437,-0.12183543787960577,9.813314545435437,1.306310757048927,40.272825034423356,8.261282845494494e-15
-14.86150000000002,9.813439525578634,-0.12182739863294535,9.813439525578634,1.306396958958423,40.275995530141856,4.453364592678439e-15
-14.862000000000021,9.813564504851326,-0.12181935949497684,9.813564504851326,1.3064831710797002,40.27916640481099,2.288783399261119e-15
-14.862500000000022,9.813689483253892,-0.1218113204669905,9.813689483253892,1.3065693934007105,40.282337658072144,1.792829721481184e-14
-14.863000000000023,9.813814460783163,-0.12180328153323045,9.813814460783163,1.3066556260922624,40.285509295189854,9.318601254079482e-15
-14.863500000000023,9.813939437442654,-0.1217952427100778,9.813939437442654,1.3067418689804562,40.28868131082845,1.6958543134584e-14
-14.864000000000024,9.814064413226337,-0.12178720396803021,9.814064413226337,1.3068281223836484,40.29185371479002,8.525616508213924e-15
-14.864500000000024,9.814189388141143,-0.12177916533992175,9.814189388141143,1.3069143859513794,40.29502649630925,4.179219242832202e-15
-14.865000000000025,9.814314362190062,-0.12177112683962314,9.814314362190062,1.307000659536542,40.29819965087397,1.2709508105967211e-14
-14.865500000000026,9.814439335362833,-0.12176308841725204,9.814439335362833,1.3070869436763188,40.3013731950161,3.678844234973531e-15
-14.866000000000026,9.814564307669162,-0.12175505011898073,9.814564307669162,1.3071732378769252,40.30454711356216,1.998810026309207e-14
-14.866500000000027,9.814689279102009,-0.12174701191043885,9.814689279102009,1.307259542509142,40.307721417926956,1.3377266068096272e-14
-14.867000000000028,9.81481424966534,-0.12173897381018542,9.81481424966534,1.3073458573755405,40.31089610205081,1.6394126252994624e-14
-14.867500000000028,9.814939219358765,-0.12173093581583756,9.814939219358765,1.3074321825035113,40.31407116678804,9.685065410798005e-15
-14.868000000000029,9.815064188178892,-0.12172289791057084,9.815064188178892,1.3075185180755853,40.317246617764425,2.5517021683543648e-15
-14.86850000000003,9.81518915612702,-0.12171486010012554,9.81518915612702,1.3076048640319737,40.32042245315326,6.7589243434784236e-15
-14.86900000000003,9.81531412320957,-0.12170682241481752,9.81531412320957,1.3076912200487998,40.32359866300551,1.1899731676600219e-14
-14.86950000000003,9.815439089424775,-0.12169878484566406,9.815439089424775,1.3077775862243197,40.32677525035487,1.1582691361771639e-14
-14.869999999999981,9.815564054766046,-0.12169074736055613,9.815564054766046,1.3078639629053883,40.32995222588133,4.1317602818954125e-15
-14.870000000000031,9.815564054767894,-0.12169074736936947,9.815564054767894,1.3078639628106674,40.32995222296806,1.807312143953211e-15
-14.870500000000032,9.815689019241807,-0.12168270999925453,9.815689019241807,1.3079503496665252,40.33312957651067,9.77138183282905e-15
-14.871000000000032,9.815813982840552,-0.12167467270619083,9.815813982840552,1.3080367471068406,40.33630732068171,3.931898377321726e-15
-14.871500000000033,9.815938945572496,-0.12166663552981095,9.815938945572496,1.3081231547074295,40.33948544244646,1.115097306002763e-14
-14.872000000000034,9.816063907441245,-0.1216585984869289,9.816063907441245,1.308209572289254,40.34266393630982,5.0221487982431626e-15
-14.872500000000034,9.81618886843298,-0.12165056151070597,9.81618886843298,1.3082960005728275,40.34584282444556,1.2133980896165752e-14
-14.873000000000035,9.816313828558892,-0.12164252465433967,9.816313828558892,1.3083824389879382,40.34902208932692,6.45458879844291e-15
-14.873500000000035,9.816438787813686,-0.12163448789189753,9.816438787813686,1.308468887815305,40.352201739600496,9.930136612989092e-16
-14.874000000000036,9.816563746199899,-0.12162645123506093,9.816563746199899,1.3085553469311137,40.355381771469894,2.780549076845816e-15
-14.874500000000037,9.816688703720265,-0.12161841469639169,9.816688703720265,1.3086418162020108,40.35856218084513,1.2947314098277875e-15
-14.875000000000037,9.816813660370544,-0.12161037825507397,9.816813660370544,1.3087282958537703,40.36174297468298,4.036695192044047e-15
-14.875500000000038,9.81693861614844,-0.12160234189960098,9.81693861614844,1.3088147860120907,40.364924156862195,2.7064176995603496e-15
