m,f_re,f_im,f_R_hz,tau_s,Q,abs_res,omega_R,omega_I_abs,omegaR_over_abs_omegaI,Q_from_f_tau,damping_ratio,inverse_damping_ratio,Q_consistency_error,Q_consistency_relative_error,fR_relative_to_start,tau_relative_to_start,Q_relative_to_start,spectral_ratio_relative_to_start
-14.359999999999992,9.687628365640686,-0.1299437753918557,9.687628365640686,1.2247985146802998,37.27623095614576,1.2224684831140492e-14,60.86916420840974,0.816460820301552,74.55246191229152,37.27623095614576,0.01341337327232019,74.55246191229152,0.0,0.0,1.0094736082235858,1.0453622440339567,1.0552655963856632,1.055265596385663
-14.369999999999992,9.690146336698126,-0.1297808744056972,9.690146336698126,1.226335882083629,37.33272094625656,8.865289006600649e-15,60.88498508716175,0.8154372832187958,74.6654418925131,37.33272094625655,0.013393076832513498,74.6654418925131,-7.105427357601002e-15,-1.9032706905638713e-16,1.009735986716321,1.0466743829852914,1.05686479087435,1.0568647908743496
-14.379999999999992,9.692663916112837,-0.1296180175448778,9.692663916112837,1.227876695744022,37.38933868802973,4.220308060520364e-15,60.90080350514992,0.8144140233837227,74.77867737605943,37.38933868802972,0.013372796030759328,74.77867737605943,-1.4210854715202004e-14,-3.8007772305830154e-16,1.009998324398965,1.0479894633077778,1.0584676019286268,1.058467601928626
-14.389999999999992,9.695181104793418,-0.1294552047725358,9.695181104793418,1.2294209674423258,37.4460846198834,8.931777008433754e-15,60.916619468083155,0.8133910405647216,74.8921692397668,37.44608461988341,0.013352530847364113,74.8921692397668,7.105427357601002e-15,1.8975087595214453e-16,1.0102606213661955,1.0493074950563372,1.0600740419598216,1.0600740419598216
-14.399999999999991,9.697697903629928,-0.1292924359466489,9.697697903629928,1.230968710014628,37.50295921267806,5.956271511572353e-15,60.93243298155384,0.8123683338694423,75.0059184253561,37.50295921267805,0.013332281251847792,75.0059184253561,-7.105427357601002e-15,-1.8946311189222042e-16,1.0105228777107593,1.0506284891865358,1.061684124297686,1.0616841242976858
-14.409999999999991,9.700214313535325,-0.1291297110722166,9.700214313535325,1.232519934958167,37.55996289696031,1.399277463072224e-14,60.94824405129827,0.8113459033292967,75.11992579392063,37.559962896960315,0.013312047228898206,75.11992579392063,7.105427357601002e-15,1.8917556913177987e-16,1.0107850935277884,1.0519524555112358,1.0632978611307113,1.0632978611307113
-14.419999999999993,9.702730335396064,-0.1289670300016907,9.702730335396064,1.2340746552805693,37.61709614956964,1.1022563465713403e-14,60.964052682886205,0.8103237480172122,75.23419229913925,37.617096149569626,0.01329182874754463,75.23419229913925,-1.4210854715202004e-14,-3.7777649446140417e-16,1.0110472689096535,1.0532794051324117,1.06491526595791,1.0649152659579093
-14.42999999999999,9.705245970117335,-0.128804392708253,9.705245970117335,1.2356328828969945,37.67435941451195,2.434909185329438e-15,60.97985888200513,0.809301867764685,75.3487188290239,37.67435941451195,0.013271625789273616,75.3487188290239,0.0,0.0,1.0113094039506778,1.05460934821962,1.0665363513487969,1.0665363513487967
-14.43999999999999,9.707761218593951,-0.1286417991103909,9.707761218593951,1.2371946303030192,37.73175315382316,8.67182973659664e-15,60.99566265427731,0.808280262059556,75.4635063076463,37.73175315382315,0.013251438329982232,75.4635063076463,-1.4210854715202004e-14,-3.7662852974967297e-16,1.0115714987441025,1.0559422954378015,1.0681611303833056,1.068161130383305
-14.44999999999999,9.710276081720888,-0.1284792491353062,9.710276081720888,1.238759909970235,37.78927782919497,2.26509985913372e-15,61.01146400532605,0.8072589304444217,75.57855565838993,37.789277829194965,0.013231266346500901,75.57855565838993,-7.105427357601002e-15,-1.880276037482659e-16,1.0118335533831866,1.0572782574314268,1.0697896161316245,1.069789616131624
-14.45999999999999,9.712790560393126,-0.128316742717878,9.712790560393126,1.2403287343555731,37.84693390225791,3.922482522551344e-15,61.02726294077467,0.8062378725101144,75.69386780451582,37.84693390225791,0.013211109816485572,75.69386780451582,0.0,0.0,1.0120955679611887,1.0586172448324527,1.0714218216622102,1.07142182166221
-14.46999999999999,9.715304655505106,-0.128154279797228,9.715304655505106,1.241901115933998,37.90472183557636,9.469004897397436e-15,61.043059466243115,0.8052170878741249,75.80944367115274,37.90472183557637,0.013190968718063861,75.80944367115274,7.105427357601002e-15,1.8745494000517997e-16,1.0123575425713118,1.0599592682882282,1.073057760069957,1.073057760069957
-14.47999999999999,9.717818367947077,-0.1279918602954234,9.717818367947077,1.243477067405248,37.962642098946624,1.2760322143985022e-14,61.058853587324975,0.8041965760467868,75.92528419789326,37.96264209894663,0.013170843027647797,75.92528419789326,7.105427357601002e-15,1.8716893674263418e-16,1.0126194773063222,1.0613043386379457,1.0746974446544886,1.0746974446544886
-14.48999999999999,9.720331698608506,-0.1278294841377403,9.720331698608506,1.2450566014989224,38.02069516346691,3.110606378280845e-15,61.074645309608954,0.8031763365585958,76.04139032693382,38.02069516346691,0.013150732722016004,76.04139032693382,0.0,0.0,1.0128813722589043,1.062652466746284,1.076340888752286,1.0763408887522858
-14.49999999999999,9.72284464838195,-0.1276671512746223,9.72284464838195,1.2466397307600314,38.07888149500308,7.659130848998449e-15,61.09043463870314,0.8021563690981804,76.15776299000618,38.07888149500309,0.013130637780566445,76.15776299000618,7.105427357601002e-15,1.8659758581757227e-16,1.0131432275220644,1.0640036633203758,1.0779881055517058,1.0779881055517058
-14.50999999999999,9.725357218154237,-0.1275048616308579,9.725357218154237,1.2482264680437691,38.13720156926379,5.347542221830668e-15,61.106221580179636,0.801136673192973,76.27440313852757,38.13720156926379,0.013110558180099112,76.27440313852757,0.0,0.0,1.0134050431882125,1.0653579393320947,1.0796391085197468,1.0796391085197465
-14.519999999999987,9.727869408814508,-0.1273426151518162,9.727869408814508,1.249816826065279,38.19565585808437,3.0287934084557967e-15,61.122006139625086,0.8001172484997165,76.39131171616873,38.195655858084365,0.0130904938995614,76.39131171616873,-7.105427357601002e-15,-1.8602710695690515e-16,1.0136668193499987,1.0667153056337815,1.0812939110137576,1.0812939110137572
-14.529999999999989,9.730381221248011,-0.1271804117679297,9.730381221248011,1.251410817746923,38.25424484001261,2.0009055870760584e-14,61.137788322601665,0.7990980945813059,76.50848968002524,38.25424484001261,0.01307044491640356,76.50848968002524,0.0,0.0,1.0139285560996683,1.068075773254637,1.0829525265811113,1.0829525265811113
-14.539999999999988,9.732892656342502,-0.1270182514310606,9.732892656342502,1.25300845586177,38.31296898944104,2.929495491068304e-15,61.1535681346873,0.7980792111352826,76.62593797888208,38.31296898944104,0.013050411210308414,76.62593797888208,0.0,0.0,1.0141902535297274,1.0694393530964421,1.0846149686515485,1.0846149686515483
-14.549999999999988,9.735403714974614,-0.1268561340376831,9.735403714974614,1.254609753790997,38.3718287997121,5.558049685633555e-15,61.16934558139006,0.7970605975111748,76.7436575994242,38.3718287997121,0.013030392755316146,76.7436575994242,0.0,0.0,1.0144519117315232,1.0708060565799948,1.0862812511912696,1.0862812511912694
